CPD_ID	CPD_NAME	mz_row_Statistic	From_mz_row	From_EmpiricalCompound
C01205	(R)-3-Amino-2-methylpropanoate; D-3-Amino-isobutanoate	2.40635027167	row267	E412
C02946	4-Acetamidobutanoate; N4-Acetylaminobutanoate	3.60452983422	row160	E663
C04282	1-Pyrroline-4-hydroxy-2-carboxylate	-3.88457004041	row142	E207
C00221	beta-D-Glucose	7.88909153688	row4	E351
C00906	5,6-Dihydrothymine; Dihydrothymine; 5,6-Dihydro-5-methyluracil	-4.34730535267	row116	E171
C03284	L-3-Amino-isobutanoate; (S)-3-Amino-isobutyrate; L-3-Amino-isobutyrate; (S)-3-Amino-isobutanoate; (S)-3-Amino-2-methylpropanoate	2.40635027167	row267	E412
C00025	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	-6.36578225519	row38	E560
C03465	3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate	5.53965947729	row68	E96
CE2122	methyl indole-3-acetate	-4.17095315723	row126	E80
C01026	N,N-Dimethylglycine; Dimethylglycine	2.40635027167	row267	E412
c226crn	cervonyl carnitine	-6.07085338629	row48	E622
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate	-2.66535019681	row240	E586
C00327	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline	-2.39850594205	row268	E649
C01879	5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid	-6.50143837328	row35	E207
tmndnccrn	Timnodonyl carnitine	-7.68673294501	row6	E385
C01879	5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid	-6.36578225519	row38	E207
C00135	L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid	-2.67390663904	row239	E349
C00221	beta-D-Glucose	-5.17557103302	row83	E114
C00515	D-Ornithine	2.52773315808	row255	E145
C05100	3-Ureidoisobutyrate	-6.60461066506	row33	E237
C00819	D-Glutamine; D-2-Aminoglutaramic acid	-6.36578225519	row38	E237
C00738	D-Hexose	7.88909153688	row4	E351
C00380	Cytosine	4.38706462871	row113	E626
C13747	1,7-Dimethylxanthine; Paraxanthine	-5.17557103302	row83	E634
C05938	L-4-Hydroxyglutamate semialdehyde	3.11315484471	row206	E283
C14800	1-Nitronaphthalene-5,6-oxide	3.21993952002	row192	E421
C16365	5-Acetylamino-6-formylamino-3-methyluracil; AFMU	-3.3130765112	row179	E687
C02835	Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate	4.3322178967	row117	E287
C00217	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid	-6.36578225519	row38	E560
dcsptn1crn	docosa-4,7,10,13,16-pentaenoyl carnitine	-4.72959630888	row98	E286
C02238	5-Oxo-L-proline	-5.11524068576	row87	E139
C00073	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	-3.95813095238	row139	E656
C01035	4-Guanidinobutanoate	5.47755269985	row72	E347
C01879	5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid	-3.88457004041	row142	E207
C01879	5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid	-2.66535019681	row240	E586
CE5541	adrenochrome o-semiquinone	-3.03255697439	row214	E634
C01736	Nebularine; Purine riboside; N-D-Ribosylpurine	6.67594281781	row31	E77
C06212	N-Methylserotonin	-2.58014134612	row249	E528
C00135	L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid	-3.04116296243	row211	E349
C05145	3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate	2.40635027167	row267	E412
CE4788	acetamidopropanal	2.41170375983	row265	E34
C00906	5,6-Dihydrothymine; Dihydrothymine; 5,6-Dihydro-5-methyluracil	-7.76760942133	row5	E171
