EID	massfeature_rows	str_row_ion	compounds	compound_names
E5	row1730	row1730_M-H2O+H[1+]	C00355	3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine
E9	row1048	row1048_M+Na[1+]	C11409;C02452;C00964;C02759	(+)-trans-Carveol; (4S,6R)-trans-Carveol$Perillyl alcohol; (-)-Perillyl alcohol; p-Mentha-1,8-dien-7-ol; (-)-Perillylalcohol$(-)-trans-Carveol$
E13	row996	row996_M+H[1+]	C00318	L-Carnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; Vitamin BT; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt; Levocarnitine; (R)-Carnitine
E15	row1747;row619	row1747_M[1+];row619_M+Na[1+]	CE5317;CE5305	3(S),6(S)-dihydroxy-tetradec-8Z-enoate$3(S),6(R)-dihydroxy-tetradec-8Z-enoate
E17	row65	row65_M+Na[1+]	tmndnccrn	Timnodonyl carnitine
E18	row231	row231_M+H[1+]	C05332;C02846	Phenethylamine; 2-Phenylethylamine; beta-Phenylethylamine; Phenylethylamine$N,N-Dimethylaniline; Dimethylaminobenzene; N,N-Dimethylbenzenamine
E23	row100;row1354;row231;row83	row100_M-CO+H[1+];row1354_M+H[1+];row231_M-CO2+H[1+];row83_M+H2O+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$
E24	row535	row535_M+H[1+]	CE5277	aminochrome o-semiquinone
E28	row430	row430_M+H[1+]	C06124	Sphingosine 1-phosphate; Sphing-4-enine 1-phosphate
E31	row105;row1121;row1511;row1629;row1893	row105_M+H2O+H[1+];row1121_M-CO+H[1+];row1511_M(C13)+H[1+];row1629_M-HCOOH+H[1+];row1893_M+H[1+]	C04282;C04281;C01879	1-Pyrroline-4-hydroxy-2-carboxylate$L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate$5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid
E34	row733	row733_M+H[1+]	C00906	5,6-Dihydrothymine; Dihydrothymine; 5,6-Dihydro-5-methyluracil
E41	row1009	row1009_M-H2O+H[1+]	C00386;C06486	Carnosine; Nalpha-(beta-alanyl)-L-histidine$(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-
E43	row382	row382_M-H2O+H[1+]	C05660	5-Methoxyindoleacetate
