EID	massfeature_rows	str_row_ion	compounds	compound_names
E2	row1216;row1407	row1216_M-CO2+H[1+];row1407_M+H[1+]	C00402;C00049	D-Aspartate; D-Aspartic acid$L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid
E4	row308	row308_M+Na[1+]	C11409;C02452;C00964;C02759	(+)-trans-Carveol; (4S,6R)-trans-Carveol$Perillyl alcohol; (-)-Perillyl alcohol; p-Mentha-1,8-dien-7-ol; (-)-Perillylalcohol$(-)-trans-Carveol$
E10	row495	row495_M+H[1+]	C05130	Imidazole-4-acetaldehyde; Imidazole acetaldehyde
E13	row1799	row1799_M-H2O+H[1+]	C02714	N-Acetylputrescine
E18	row884	row884_M-H2O+H[1+]	C03758	Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine
E21	row938	row938_M+H[1+]	C00178;C02835	Thymine; 5-Methyluracil$Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate
E23	row1695;row895	row1695_M+H[1+];row895_M+H2O+H[1+]	C11924	Perillic acid
E25	row1376	row1376_M-H2O+H[1+]	C00077;C00515;C01602	L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate$D-Ornithine$Ornithine; 2,5-Diaminovaleric acid; 2,5-Diaminopentanoic acid; 2,5-Diaminopentanoate
E31	row467	row467_M+H[1+]	C03564;C03912	1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate$(S)-1-Pyrroline-5-carboxylate; L-1-Pyrroline-5-carboxylate; 1-Pyrroline-5-carboxylate
E40	row1216;row472	row1216_M+H[1+];row472_M(C13)+H[1+]	C00213;C00133;C00041;C00099	Sarcosine; N-Methylglycine$D-Alanine; D-2-Aminopropionic acid; D-Ala$L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine$beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate
E44	row1329;row1568;row1762;row948	row1329_M+H[1+];row1568_M-HCOOH+H[1+];row1762_M(C13)+H[1+];row948_M-CO+H[1+]	C00407;C00123	L-Isoleucine; 2-Amino-3-methylvaleric acid$L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine
E47	row1476	row1476_M+Na[1+]	C06178	1-Methylpyrrolinium
E48	row1134	row1134_M+H[1+]	C05522;C00380	Cytosine (in DNA)$Cytosine
